exp_reaction,exp_flux
R0001_GLCptspp,100
R0002_PGI,73.0
R0003_PFK,83.1
R0004_FBA,83.1
R0005_TPI,83.1
R0006_GAPD,171.5
R0007_ENO,159.0
R0007_PGM,159.0
R0008_PYK,27.1
R0009_PDH,115.7
R0010_G6PDH2r,25.5
R0011_GND,23.6
R0012_RBP4E,10.5
R0013_RPI,13.0
R0014_TKT1,10.5
R0015_TALA,0.0
R0016_TKT2,0.0
R0017_CS,25.0
R0018_ACONTa,17.2
R0018_ACONTb,17.2
R0019_ICDHyr,25.0
R0020_AKGDH,13.8
R0020_SUCOAS,13.8
R0021_SUCDi,17.2
R0022_FUM,19.9
R0023_MDH,14.2
R0024_PPC,26.3
R0025_ME1,2.6
R0026_ICL,0.0
R0027_MALS,0.0
R0028_EDD,0.0
R0028_EDA,0.0
R0029_ACACCT,0.0
R0030_LDH_D,0.0
R0030_L_LACD2,0.0
R0031_ALCD2x,0
R0031_ACALD,0
,39.5
R0043_EX_co2_e,0
R0044_PGI,0.0
R0045_PGM,172.6
R0045_ENO,172.6
R0046_TKT1,132.0
R0047_TALA,73.3
R0048_TKT2,0.0
R0049_MDH,0.0
R0050_PPCK,0.0
R0050_PPC,0.0
R0054_NADTRHD,109.1
R0058_EX_succ_e,0.0
R0059_FBA,204.1
R0060_TPI,96.2
R0061_RPE,63.3
R0062_RPI,122.5
R0063_FUM,177.8
R0064_TKT2,-4.0
R0065_TKT1,-6.6
R0066_TALA,-6.6
R0067_TALA,6.6
R0068_EDD,1.9
R0069_EDA,1.9
R0070_PPCK,0.0
R0071_ACKr,65.9
R0071_PTAr,65.9
R0072_GLUDy,47.0
R0073_GLNS,4.9
R0074_GLU5K,1.5
R0074_G5SD,1.5
R0074_G5SADs,1.5
R0074_P5CR,1.5
R0075_ARGSS,2.0
R0075_ARGSL,2.0
R0076_ASPTA,13.1
R0077_ASNS2,1.6
R0078_ALATA_L,3.5
R0079_PSERT,8.1
R0079_PGCD,8.1
R0079_PSP_L,8.1
R0082_THRD,0.0
R0083_SERAT,1.7
R0083_CYSS,1.7
R0083_SADT2,1.7
R0083_ADSK,1.7
R0083_PAPSR,1.7
R0083_SULR,1.7
R0084_DHDPS,2.3
R0084_DHDPRy,2.3
R0084_THDPS,2.3
R0084_SDPTA,2.3
R0084_DAPDC,2.3
R0085_DAPE,2.3
R0085_DAPDC,2.3
R0086_ASPK,3.7
R0086_HSDy,3.7
R0086_HSK,3.7
R0086_THRS,3.7
R0086_ASAD,3.7
R0087_SHSL1,1.1
R0087_CYSTL,1.1
R0087_METS,1.1
R0087_HSST,1.1
R0088_DHAD1,2.9
R0088_ACLS,2.9
R0088_VALTA,2.9
R0088_KARA1,2.9
R0089_LEUTAi,3.1
R0089_OMCDC,3.1
R0089_IPMD,3.1
R0089_IPPMIb,3.1
R0089_IPPS,3.1
R0089_IPPMIa,3.1
R0090_KARA2,2.0
R0090_THRD,2.0
R0090_ACHBS,2.0
R0090_DHAD2,2.0
R0090_ILETA,2.0
R0091_PSCVT,1.3
R0091_PHETA1,1.3
R0091_PPNDH,1.3
R0091_CHRPL,1.3
R0091_CHORM,1.3
R0091_CHORS,1.3
R0091_SHKK,1.3
R0091_SHK3Dr,1.3
R0091_DHQS,1.3
R0091_DDPA,1.3
R0091_DHQTi,1.3
R0092_DHQS,0.9
R0092_TYRTA,0.9
R0092_SHK3Dr,0.9
R0092_SHKK,0.9
R0092_PSCVT,0.9
R0092_CHORS,0.9
R0092_PPND,0.9
R0092_DDPA,0.9
R0092_DHQTi,0.9
R0093_PRAIi,0.4
R0093_TRPS3,0.4
R0093_TRPS2,0.4
R0093_TRPS1,0.4
R0093_IGPS,0.4
R0093_ANS,0.4
R0093_ANPRT,0.4
R0094_IGPDH,0.6
R0094_ATPPRT,0.6
R0094_PRAMPC,0.6
R0094_PRMICI,0.6
R0094_HSTPT,0.6
R0094_HISTP,0.6
R0094_HISTD,0.6
R0095_MTHFC,1.1
R0095_MTHFR2,1.1
R0096_MTHFD,0.6
R0096_FTHFLi,0.6
R0097_ATPS4rpp,300.0
R0097_CYTBO3_4pp,300.0
R0097_NADH5,300.0
R0098_CYTBO3_4pp,17.2
R0098_SUCDi,17.2
R0098_NADH5,17.2
R0098_ATPS4rpp,17.2
R0099_NADTRHD,44.4
R0101_EX_ac_e,69.6
R0102_EX_co2_e,175.2
R0103_EX_o2_e,158.6
R0104_EX_nh4_e,50.1
R0104_NH4tpp,50.1
R0105_EX_so4_e,1.7
R0105_SULabcpp,1.7
R0105_SO4t2pp,1.7
R0106_BIOMASS_Ec_iML1515_core_75p37M,7.2
R0106_BIOMASS_Ec_iML1515_WT_75p37M,7.2
R0108_GAPD,6.2
R0108_PGK,6.2
R0112_ACONTa,69.0
R0112_ACONTb,69.0
R0113_ICDHyr,0
R0114_SUCCOAS,113.4
R0115_SUCDi,27.2
R0116_ICL,10.1
R0118_GHMT2r,9.0
R0119_GLYCL,0.9
R0120_FBA,0
R0120_PFK,0
